post_tokens,toxic_tokens,post_label
"['<number>', 'of', 'pakistani', 'are', 'married', 'to', 'a', '1', 'st', 'cousin', 'smae', 'goes', 'for', 'arabs', 'it', 'is', 'a', 'tradition', 'to', 'keep', 'family', 'wealth', 'withen', 'the', 'family', 'just', 'some', 'ammo', 'for', 'the', 'muslim', 'argument']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",hatespeech
"['todd', 'phillips', 'i', 'have', 'run', 'out', 'of', 'context', 'and', 'content', 'for', 'comedic', 'films', 'i', 'will', 'just', 'blame', 'woke', 'and', 'sjw', 'for', 'my', 'diminishing', 'creative', 'talents', 'fuck', 'todd', 'phillips', 'and', 'if', 'you', 'can', 'not', 'laugh', 'as', 'my', 'friend', '<user>', 'puts', 'it', 'fuck', 'you', 'too']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['4', 'chan', 'humour', 'a', 'mexican', 'and', 'a', 'nigger', 'arr', 'in', 'a', 'car', 'who', 'is', 'driving', 'a', 'cop']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['i', 'am', 'much', 'higher', 'time', 'preference', 'on', 'this', 'issue', 'i', 'do', 'not', 'want', 'to', 'pave', 'a', 'road', 'i', 'want', 'to', 'remove', 'the', 'jews', 'from', 'power', 'to', 'stop', 'this', 'deconstructionist', 'anti', 'white', 'morass', 'of', 'misery', 'they', 'have', 'forced', 'on', 'our', 'communities']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",hatespeech
"['<user>', 'reminds', 'me', 'vaguely', 'of', 'the', 'netflix', 'movie', 'where', 'the', 'troubled', 'team', 'was', 'raped', 'and', 'then', 'made', 'to', 'recant', 'only', '<number>', 'years', 'later', 'to', 'find', 'out', 'others', 'were', 'raped', 'the', 'same', 'way']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['the', 'most', 'radical', 'plans', 'for', 'reconstruction', 'which', 'included', 'land', 'reform', 'the', 'likes', 'of', 'which', 'is', 'currently', 'being', 'proposed', 'in', 'south', 'africa', 'failed', 'for', 'want', 'of', 'support', 'had', 'lincoln', 'survived', 'and', 'these', '<percent>', 'governments', 'formed', 'with', '<number>', 'nigger', 'senators', 'the', 'most', 'radical', 'plans', 'would', 'have', 'passed', 'the', 'senate']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'when', 'you', 'been', 'eating', 'too', 'many', 'nazi', 'cakes']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['if', 'in', '<number>', 'the', 'man', 'i', 'believe', 'to', 'be', 'a', 'criminal', 'sexist', 'racist', 'xenophobic', 'homophobic', 'white', 'supremacist', 'was', 're', 'elected', 'i', 'd', 'move', 'unless', 'i', 'do', 'not', 'really', 'have', 'a', 'problem', 'with', 'someone', 'being', 'those', 'things', 'or', 'i', 'never', 'believed', 'he', 'was', 'those', 'things', 'to', 'begin', 'with', 'trump', '2020', 'kag', 'maga']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['settlement', 'and', 'its', 'naturalization', 'then', 'condi', 'tioned', 'the', 'emergence', 'of', 'modern', 'queer', 'formations', 'including', 'their', 'inheritance', 'and', 'sustaining', 'of', 'colonial', 'biopolitics', 'in', 'the', 'form', 'of', 'settler', 'homonationalism']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['are', 'you', 'seriously', 'backing', 'that', 'lil', 'spic', 'fag', 'fuentes', '😂']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",hatespeech
