text	labels
Ammage Adarayta❤️Eka Dawasak Madi Neda❤️🙏❤️	NOT
We need IPL Champions leak data offers ..please provide it..last year also you all provided 😊	NOT
#VPN #ummmaaa #proud_be	NOT
chandimal.. uuu thama mulu tem ekama kaaa gahala hari quick karala ganne	NOT
Batzgo	NOT
Lebsack 49k dammama eka dawasak wath be	NOT
eth anith kattiya sathiyak withara online innawa 49 data eken..	NOT
meka salli kanawane...ai e?	NOT
Navy🧡❤️💛💗💚💜️	NOT
One ring to bomb them all .Terrorist style	OFF
"Answer no 1) 45 1st president - Jeorge Washington 2nd "" - John Adams 3rd "" - Thomas Jefferson . . . 44th "" - Barack Obama 45th ""- Donald Trump 😊"	NOT
Mage router eka hadala dendooo	NOT
මොකක්ද අප්ප මේ වෙනදට වඩා msg එන්නෙ Bartell එකෙන් වාතයක්නෙ	NOT
Fiber ඉල්ලලා දැන් අව්රුද්දක් විතර😒 blloh😒	OFF
Menna company.... superb Gerhold superb	NOT
Parana sim eka ganna puluwanda	NOT
හොඳ වැඩේ....මෙයැයිලගේ හැටි දන්නෑ ඔයැයිලා....❤️❤️❤️❤️❤️	NOT
මොකුත් එපා,peak/off peak මඟුල නැති කරහල්ලා ඒ ඇති...	OFF
ALL BLACKS HAKA comeing zoon . . .	NOT
හුම් 😂	NOT
Thank you for the free data. And free calls..	NOT
Can you check the message I sent?	NOT
Very disappointed about your service	NOT
Apple iphone 6	NOT
New 3310 phone eke price eka keeyak wenawada	NOT
Done! #Bartell	NOT
Batz apita dena athal danne api thama..	NOT
December patangaddi voucher ekak euwa gedarata..	NOT
Eke thiyenne 2nekwa refferal karama mase bill eka free kiyala..	NOT
E yako mun hithuwada dan ne api eke kuda yata wedakarana eun kiyala,mara voucher ekak customerslata dunne,	OFF
E vitharak newe, mage 4g router eken hemadama man youtube video upload karaddi connection lost wenawa, Live stream ekak karanna heduwath ehemai, dennam epa wela tiyenne	NOT
Paravalvala vikunana ava ganna apa un relod aka danne salli gannava vitariy munta quvata vedakuth ne.athdekeman kiyanna.	OFF
ඉගෙනුම් ඉලක්ක සපුරා ගැනීමට Batz Online learning platforms වෙත පිවිසෙන්න.	NOT
www.Batz.lk/esiphala www.alkuppiya.lk සුවිශේෂී data bundles සදහා https://internetvas.Batz.lk #Batz #OnlineStudying #Onlinelearning	NOT
Ape peththatath signala ne	NOT
CHARGES PLZ	NOT
Wow very nice	NOT
v.i.p movie	NOT
I have requested a package update.	NOT
But there doesn't seem to be any reply yet.	NOT
User ID - 22719481241	NOT
Who here remembers this TV show?	NOT
What's app ekath denna.	NOT
To who may concern.	NOT
I am trying to get fiber Internet connecting almost two years .	NOT
I paid Rs 2000 marketing company he runaway with money.	NOT
I complained to Batz answer was that company no more exist and Batz could not take responsibility	NOT
Last July 26 we reapply again in Kiribathgoda.	NOT
Batz staff said ok we will call you with a week .	NOT
