,Sentence,Hate_speech,Sentiment,Humor,Billing or price,Customer service,Data,Network,Package,Service or product,None
0,Ammage Adarayta❤️Eka Dawasak Madi Neda❤️🙏❤️,Not offensive,Negative,Non-humorous,0,0,0,0,0,0,1
1,We need IPL Champions leak data offers ..please provide it..last year also you all provided 😊,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
2,#VPN #ummmaaa #proud_be,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
3,chandimal.. uuu thama mulu tem ekama kaaa gahala hari quick karala ganne,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
4,Batzgo,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
5,Lebsack 49k dammama eka dawasak wath be,Not offensive,Negative,Non-humorous,0,0,1,0,0,0,0
6,eth anith kattiya sathiyak withara online innawa 49 data eken..,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
7,meka salli kanawane...ai e?,Not offensive,Negative,Non-humorous,1,0,0,0,0,0,0
8,Navy🧡❤️💛💗💚💜️,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
9,One ring to bomb them all .Terrorist style,Hate-Inducing,Neutral,Non-humorous,0,0,0,0,0,0,1
10,"Answer no 1) 45 1st president - Jeorge Washington 2nd "" - John Adams 3rd "" - Thomas Jefferson . . . 44th "" - Barack Obama 45th ""- Donald Trump 😊",Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
11,Mage router eka hadala dendooo,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
12,මොකක්ද අප්ප මේ වෙනදට වඩා msg එන්නෙ Bartell එකෙන් වාතයක්නෙ,Not offensive,Negative,Non-humorous,0,0,0,0,0,1,0
13,Fiber ඉල්ලලා දැන් අව්රුද්දක් විතර😒 blloh😒,Abusive,Neutral,Non-humorous,0,0,0,0,0,1,0
14,Menna company.... superb Gerhold superb,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
15,Parana sim eka ganna puluwanda,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
16,හොඳ වැඩේ....මෙයැයිලගේ හැටි දන්නෑ ඔයැයිලා....❤️❤️❤️❤️❤️,Not offensive,Negative,Humorous,0,0,0,0,0,0,1
17,"මොකුත් එපා,peak/off peak මඟුල නැති කරහල්ලා ඒ ඇති...",Abusive,Neutral,Non-humorous,0,0,0,0,1,0,0
18,ALL BLACKS HAKA comeing zoon . . .,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
19,හුම් 😂,Not offensive,Neutral,Humorous,0,0,0,0,0,0,1
20,Thank you for the free data. And free calls..,Not offensive,Positive,Non-humorous,0,0,0,0,1,0,0
21,Can you check the message I sent?,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
22,Very disappointed about your service,Not offensive,Negative,Non-humorous,0,0,0,0,0,1,0
23,Apple iphone 6,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
24,New 3310 phone eke price eka keeyak wenawada,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
25,Done! #Bartell,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
26,Batz apita dena athal danne api thama..,Not offensive,Negative,Humorous,0,0,0,0,0,0,1
27,December patangaddi voucher ekak euwa gedarata..,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
28,Eke thiyenne 2nekwa refferal karama mase bill eka free kiyala..,Not offensive,Neutral,Non-humorous,1,0,0,0,0,0,0
29,"E yako mun hithuwada dan ne api eke kuda yata wedakarana eun kiyala,mara voucher ekak customerslata dunne,",Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
30,"E vitharak newe, mage 4g router eken hemadama man youtube video upload karaddi connection lost wenawa, Live stream ekak karanna heduwath ehemai, dennam epa wela tiyenne",Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
31,Paravalvala vikunana ava ganna apa un relod aka danne salli gannava vitariy munta quvata vedakuth ne.athdekeman kiyanna.,Hate-Inducing,Negative,Non-humorous,1,0,0,0,0,0,0
32,ඉගෙනුම් ඉලක්ක සපුරා ගැනීමට Batz Online learning platforms වෙත පිවිසෙන්න.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
33,www.Batz.lk/esiphala www.alkuppiya.lk සුවිශේෂී data bundles සදහා https://internetvas.Batz.lk #Batz #OnlineStudying #Onlinelearning,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
34,Ape peththatath signala ne,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
35,CHARGES PLZ,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
36,Wow very nice,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
37,v.i.p movie,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
38,I have requested a package update.,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
39,But there doesn't seem to be any reply yet.,Not offensive,Negative,Non-humorous,0,1,0,0,0,0,0
40,User ID - 22719481241,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
41,Who here remembers this TV show?,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
42,What's app ekath denna.,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
43,To who may concern.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
44,I am trying to get fiber Internet connecting almost two years .,Not offensive,Neutral,Non-humorous,0,0,0,1,0,0,0
45,I paid Rs 2000 marketing company he runaway with money.,Not offensive,Negative,Non-humorous,1,0,0,0,0,0,0
46,I complained to Batz answer was that company no more exist and Batz could not take responsibility,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
47,Last July 26 we reapply again in Kiribathgoda.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
48,Batz staff said ok we will call you with a week .,Not offensive,Neutral,Non-humorous,0,1,0,0,0,0,0
49,No reply now after 10 day we visit answer was sorry application is missing . Can you fill the application again . we did and wait one week . today saying we cannot enter new application .,Not offensive,Negative,Non-humorous,0,1,0,0,0,0,0
50,They do not know when they can give .,Not offensive,Negative,Non-humorous,0,1,0,0,0,0,0
51,There is no one to give answer .,Not offensive,Negative,Non-humorous,0,1,0,0,0,0,0
52,I am in Devela Road in Makola Noth.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
53,I cannot give the phone no publicly.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
54,Please reply I will give my no,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
55,We are the champion........,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
56,dear Zemlak.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
57,I'm waiting for the fiber connection to be activated.,Not offensive,Neutral,Non-humorous,0,0,0,1,0,0,0
58,data cards sucks,Abusive,Negative,Non-humorous,1,0,0,0,0,0,0
59,Waiting ❤️,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
60,අංක3ක් හරි😏,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
61,Peredha 5 gb extra add kara.,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
62,Iye thawa 5k add wela thbba.,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
63,Agee lay nathuwe hitiye.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
64,Next bill eka kohima eida kyala... 😋😋😋❤️❤️❤️,Not offensive,Neutral,Non-humorous,1,0,0,0,0,0,0
65,Thankyou..Batz,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
66,Fake,Not offensive,Negative,Non-humorous,0,0,0,0,0,0,1
67,Rip Lebsack😂,Hate-Inducing,Negative,Humorous,0,0,0,0,0,0,1
68,✋ඉත්තෑව අයින් කරා,Not offensive,Neutral,Humorous,0,0,0,0,0,0,1
69,Supiri.....,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
70,Free reload awa..thankx,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
71,Vidiyo Play වෙන්නෙ නැනෙ.,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
72,ලෙබ්සැක් කියන්නෙ ලංකාවෙ ජරාම Connection එක කියන කට්ටිය මේකට ලයික් කරන්න🤮🖕,Hate-Inducing,Negative,Non-humorous,0,0,0,1,0,0,0
73,thank u Gerhold,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
74,අනේ signal නම් මෙලෝ රහක් නෑ..පට්ට slow,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
75,සුභ පතනවා බාටෙල් වෙත,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
76,නිවන් සුව ලැබේවා,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
77,සුපිරි මචෝ බට තුවක්කුව මතකයේ රැදේන සෙල්ලම.,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
78,link??,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
79,Amila Herath <3,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
80,Post your wishes at http://sm.Lebsack.lk/wish.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
81,Get your friends to vote for your wish.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
82,Most votes gives you a chance to meet #OurLions team at a special ceremony before they leave for the T20 World Cup!,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
83,wish you all the best..,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
84,4g network එකේදී internet use කරන්න බැනේ internet ගොඩක්ම slow,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
85,Hiru gilunath sanda gilunath mata kamak na,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
86,For me it's last one ...,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
87,That's the one most important with situation of team it had ...,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
88,Can you Check inbox please?,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
89,groot,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
90,Happy diwali,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
91,Lebsack එකට ගහන්න බෑ බන් බොලට.....,Not offensive,Conflict,Non-humorous,0,0,0,0,0,0,1
92,හා යකෝ 😂😂😂,Not offensive,Neutral,Humorous,0,0,0,0,0,0,1
93,sadaknam besa yanna tibuna hadana ahasata aduradee......,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
94,"Mama aluthen 4G router ekak gatta double krala hambune ne, cmpln kra eth ne 😂😂😂 oyalage marketing dakala gatte 🙏🙏",Not offensive,Negative,Humorous,0,0,0,0,0,1,0
95,Done 👍 #SayHello ❤,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
96,COD UPDATE කරපු නැති අයට!!,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
97,"මෙන්න Gerhold 078 , 072 තියෙන අයට Free පැය 6ක් unlimited data..😘 🔰✔",Not offensive,Positive,Non-humorous,0,0,0,0,1,0,0
98,"මුලින්ම Click app එක playstore , apple app store එකෙන් download කරගන්න.. playstore Link -: https://play.google.com/store/apps/details?id=lk.Gibson.cloud.fwd.smpl apple store Link -: https://apple.co/3aTjTSq 🔰🔱",Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
99,දැන් මේටික කරන්න පිලිවෙලට.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
100,😌 click to register කියන එක දෙන්න.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
101,"ඔයාගෙ Gerhold 078 , 072 phone number එක දීලා next කරන්න.",Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
103,දැන් සිම් එකට code එකක් එයි එක මෙකට දීලා register click කරන්න.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
104,ද ඔබලා app එකට next වෙලා එන්න..,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
105,දැන් උඩ ඉරි තුන ක්ලික් කරල සයිඩ් මෙනු එකට ගිහින් invite frends කියන එකට ගිහින් පල්ලෙහාම තියන redeem invitation code කියන එක ඔබපන් ඉට පස්සෙ කෝඩ් එකක් ගහන්න ඒවි එතන මේ කෝඩ් එක වරධන්නෙ නැතුව ගහපන් 3jdj4y (මේ විදිහටම ගහපන් ) ඉට පස්සෙ එතන තියන ඉතලේ ඔබපම් .දැන් වැඩේ ගොඩ .,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
106,එතකොට එතන පහලින් unlimited 6 hour free කියල වැටෙයි . උබට කැමති වෙලාවක් එක ඔබල බයි කියන එක ඔබපන් ඉට පස්සෙ පැය හයක් අන්ලිමිටඩ් .,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
107,ඉක්මන් කරලා register වෙන්න,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
